annotator	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency	argument	#id	issue	stance
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	As humans, we cannot know exactly if there is a higher force or not. Christianity however is not it. Firstly because it is not one belief that every Christian shares, it lacks solidarity. I compare it to a road with all different kinds of sideways. Ask a question about religion, and lots of people will find one of those sideways to adjust their religion to their personal beliefs. <br/> With AtheÌøsm, the concept is pretty clear. It is more scientific, and I like that.	arg246334	christianity-or-atheism	atheism
3	y	2 (Average)	2 (Average)	2 (Average)	3 (High)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	As humans, we cannot know exactly if there is a higher force or not. Christianity however is not it. Firstly because it is not one belief that every Christian shares, it lacks solidarity. I compare it to a road with all different kinds of sideways. Ask a question about religion, and lots of people will find one of those sideways to adjust their religion to their personal beliefs. <br/> With AtheÌøsm, the concept is pretty clear. It is more scientific, and I like that.	arg246334	christianity-or-atheism	atheism
1	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	arg229484	christianity-or-atheism	atheism
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	arg229484	christianity-or-atheism	atheism
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	Even if there was a valid proof for the existence of god, there would be no valid proof that that god is Christian or not.	arg229484	christianity-or-atheism	atheism
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	3 (High)	1 (Low)	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.	arg231491	christianity-or-atheism	atheism
2	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.	arg231491	christianity-or-atheism	atheism
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	religious people are always using the same argument: you cant prove he doesn't exist!!!!you CANNOT disprove a negative. meaning, you cant prove something is not there,which already is not there.	arg231491	christianity-or-atheism	atheism
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	1 (Low)	2 (Average)	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	arg229241	christianity-or-atheism	atheism
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	arg229241	christianity-or-atheism	atheism
3	y	2 (Average)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	1 (Low)	3 (High)	3 (High)	1 (Low)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	Christianity conflicts with historical, archaeological, astronomical, biological, and many other forms of evidence. It denies rational & impartial common sense. Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions. The arguments for Christianity just don't hold ground (bar one or two, and those are close). Atheism is not perfect, but it is the more logical position of the two.	arg229241	christianity-or-atheism	atheism
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.	arg231620	christianity-or-atheism	atheism
2	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.	arg231620	christianity-or-atheism	atheism
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	For reasons that should be totally obvious, and which I would assume have been thoroughly fleshed out by others involved.	arg231620	christianity-or-atheism	atheism
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	arg270902	christianity-or-atheism	atheism
2	y	2 (Average)	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	arg270902	christianity-or-atheism	atheism
3	y	2 (Average)	3 (High)	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	Religion in the past has caused many wars. It encourages racism , sexism and homophobia. It is something that gives us prejudice. It makes us hate one another. the time has come to put a stop to it.	arg270902	christianity-or-atheism	atheism
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	1 (Low)	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.	arg240623	christianity-or-atheism	atheism
2	y	1 (Low)	1 (Low)	2 (Average)	3 (High)	3 (High)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	1 (Low)	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.	arg240623	christianity-or-atheism	atheism
3	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Cannot judge	1 (Low)	1 (Low)	3 (High)	1 (Low)	1 (Low)	1 (Low)	there is no god. Science has proven it. It was just an excuse made up so people from simplier times didnt have to think to hard on those big questions.	arg240623	christianity-or-atheism	atheism
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA	arg240625	christianity-or-atheism	atheism
2	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA	arg240625	christianity-or-atheism	atheism
3	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	christians are also fun to lawl at because they waste half of their sunday going to church. What a waste!!!! HAHAHA	arg240625	christianity-or-atheism	atheism
1	y	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	2 (Average)	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	arg575745	christianity-or-atheism	atheism
2	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	arg575745	christianity-or-atheism	atheism
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	No one ever said science is PERFECT. That's the difference between Religion and Science, Science admits it doesn't have all the answers while Religion is SO dogmatic enough to not even recognise FACTS. And even just what TRUTH really stands for.	arg575745	christianity-or-atheism	atheism
1	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	arg439197	christianity-or-atheism	atheism
2	y	2 (Average)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	3 (High)	3 (High)	3 (High)	3 (High)	1 (Low)	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	arg439197	christianity-or-atheism	atheism
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	I'm sad to see the way this turned out. With not so little respect and so much spamming. I choose atheism over a Christianity because their is not enough evidence to soothe my curiosity. Christianity raises too many questions that it never answers.	arg439197	christianity-or-atheism	atheism
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.	arg229317	christianity-or-atheism	christianity
2	y	1 (Low)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.	arg229317	christianity-or-atheism	christianity
3	y	1 (Low)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	Christianity strives to promote better morals and ethics. What does atheism contribute? Nothing. To believe that one should follow the ways of Christ, what harm is there. Real or not, Christ is still a better example to follow than any atheist. For a ideology to be better than any human must really piss off those that fall way short of it.	arg229317	christianity-or-atheism	christianity
